source name,characteristics[organism],characteristics[organism part],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[treatment],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[fragment mass tolerance],comment[precursor mass tolerance],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[treatment],project_id,characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].2,comment[modification parameters].3,Factor value[growth stage],characteristics[enrichment protocol],comment[compensation voltage],comment[tool metadata],characteristics[growth condition],characteristics[enrichment process],comment[label].1,comment[fractionation method],characteristics[isolate],Factor value[isolate],factor value[treatment],characteristics[plasmid],Factor value[plasmid],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],characteristics[time],Factor value[time],Factor value[organism part],comment[fraction],comment[modification parameters].4,Factor value[fraction],Factor value[enrichment process],factor value[time],factor value[growth condition]
Sample 30,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 30,Proteomic profiling by mass spectrometry,1,1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 31,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 31,Proteomic profiling by mass spectrometry,1,1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 32,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 32,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 33,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 33,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 34,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 34,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#18_BR3_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 35,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 35,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#19_BR3_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#19_BR3_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 36,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 36,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#19_BR3_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#19_BR3_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 37,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 37,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#29_BR2_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#29_BR2_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 38,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 38,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#29_BR2_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#29_BR2_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 39,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 39,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#29_BR2_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#29_BR2_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 40,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 40,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#30_BR2_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#30_BR2_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 41,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 41,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#30_BR2_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#30_BR2_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 42,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 42,Proteomic profiling by mass spectrometry,1,1DLC112317QE_antiEcoli_#30_BR2_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#30_BR2_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 43,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 43,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#18_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#18_BR1_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 44,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 44,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#18_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#18_BR1_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 45,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 45,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#18_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#18_BR1_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 46,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 46,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#18_BR2_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#18_BR2_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 47,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 47,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#19_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#19_BR1_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 48,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 48,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#19_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#19_BR1_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 49,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 49,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#19_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#19_BR1_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 50,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 50,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#21_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#21_BR1_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 51,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 51,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#21_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#21_BR1_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 52,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 52,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#21_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#21_BR1_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 53,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 53,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#27_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#27_BR1_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 54,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 54,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#27_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#27_BR1_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 55,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 55,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#27_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#27_BR1_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 56,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 56,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#29_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#29_BR1_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 57,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 57,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#29_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#29_BR1_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 58,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 58,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#29_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#29_BR1_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 59,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 59,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#30_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#30_BR1_FASP1.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 60,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 60,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#30_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#30_BR1_FASP2.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 61,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 61,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#30_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#30_BR1_FASP3.raw,,PXD016001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 1,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 1,Proteomic profiling by mass spectrometry,Not available,QX1_21_0046.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0046.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 2,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 2,Proteomic profiling by mass spectrometry,Not available,QX1_21_0048.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0048.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 3,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 3,Proteomic profiling by mass spectrometry,Not available,QX1_21_0050.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0050.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 4,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 4,Proteomic profiling by mass spectrometry,Not available,QX1_21_0052.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0052.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 5,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 5,Proteomic profiling by mass spectrometry,Not available,QX1_21_0054.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0054.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 6,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 6,Proteomic profiling by mass spectrometry,Not available,QX1_21_0062.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0062.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 7,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 7,Proteomic profiling by mass spectrometry,Not available,QX1_21_0064.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0064.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
sample 8,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 8,Proteomic profiling by mass spectrometry,Not available,QX1_21_0076.raw,1,label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0076.raw,,PXD026423,,,,,,,,lesSDRF v0.1.0,,,,,,,,,,,,,,,,,,,,,
