source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]
Sample 43	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 43	Proteomic profiling by mass spectrometry	Not available	Map-4-16.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-16.raw
Sample 44	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 44	Proteomic profiling by mass spectrometry	Not available	Map-4-17.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-17.raw
Sample 45	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 45	Proteomic profiling by mass spectrometry	Not available	Map-4-18.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-18.raw
Sample 46	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 46	Proteomic profiling by mass spectrometry	Not available	Map-4-1re.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-1re.raw
Sample 47	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 47	Proteomic profiling by mass spectrometry	Not available	Map-4-2.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-2.raw
Sample 48	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 48	Proteomic profiling by mass spectrometry	Not available	Map-4-3.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-3.raw
Sample 49	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 49	Proteomic profiling by mass spectrometry	Not available	Map-4-4.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-4.raw
Sample 50	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 50	Proteomic profiling by mass spectrometry	Not available	Map-4-5.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-5.raw
Sample 51	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 51	Proteomic profiling by mass spectrometry	Not available	Map-4-6.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-6.raw
Sample 52	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 52	Proteomic profiling by mass spectrometry	Not available	Map-4-7.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-7.raw
Sample 53	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 53	Proteomic profiling by mass spectrometry	Not available	Map-4-8.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-8.raw
Sample 54	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 54	Proteomic profiling by mass spectrometry	Not available	Map-4-9.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-9.raw
Sample 55	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 55	Proteomic profiling by mass spectrometry	Not available	Map-5-10.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-10.raw
Sample 56	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 56	Proteomic profiling by mass spectrometry	Not available	Map-5-11.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-11.raw
Sample 57	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 57	Proteomic profiling by mass spectrometry	Not available	Map-5-12.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-12.raw
Sample 58	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 58	Proteomic profiling by mass spectrometry	Not available	Map-5-13.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-13.raw
Sample 59	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 59	Proteomic profiling by mass spectrometry	Not available	Map-5-14.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-14.raw
Sample 60	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 60	Proteomic profiling by mass spectrometry	Not available	Map-5-15.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-15.raw
Sample 61	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 61	Proteomic profiling by mass spectrometry	Not available	Map-5-16.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-16.raw
Sample 62	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 62	Proteomic profiling by mass spectrometry	Not available	Map-5-17.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-17.raw
Sample 63	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 63	Proteomic profiling by mass spectrometry	Not available	Map-5-18.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-18.raw
Sample 64	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 64	Proteomic profiling by mass spectrometry	Not available	Map-5-7.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-7.raw
Sample 65	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 65	Proteomic profiling by mass spectrometry	Not available	Map-5-8.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-8.raw
Sample 66	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 66	Proteomic profiling by mass spectrometry	Not available	Map-5-9.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-5-9.raw
Sample 67	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 67	Proteomic profiling by mass spectrometry	Not available	Map-6-1.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-1.raw
Sample 68	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 68	Proteomic profiling by mass spectrometry	Not available	Map-6-10.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-10.raw
Sample 69	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 69	Proteomic profiling by mass spectrometry	Not available	Map-6-11.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-11.raw
Sample 70	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 70	Proteomic profiling by mass spectrometry	Not available	Map-6-12.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-12.raw
Sample 71	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 71	Proteomic profiling by mass spectrometry	Not available	Map-6-13.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-13.raw
Sample 72	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 72	Proteomic profiling by mass spectrometry	Not available	Map-6-14.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-14.raw
Sample 73	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 73	Proteomic profiling by mass spectrometry	Not available	Map-6-15.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-15.raw
Sample 74	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 74	Proteomic profiling by mass spectrometry	Not available	Map-6-16.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-16.raw
Sample 75	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 75	Proteomic profiling by mass spectrometry	Not available	Map-6-17.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-17.raw
Sample 76	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 76	Proteomic profiling by mass spectrometry	Not available	Map-6-18.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-18.raw
Sample 77	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 77	Proteomic profiling by mass spectrometry	Not available	Map-6-19.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-19.raw
Sample 78	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 78	Proteomic profiling by mass spectrometry	Not available	Map-6-2.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-2.raw
Sample 79	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 79	Proteomic profiling by mass spectrometry	Not available	Map-6-20.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-20.raw
Sample 80	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 80	Proteomic profiling by mass spectrometry	Not available	Map-6-21.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-21.raw
Sample 81	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 81	Proteomic profiling by mass spectrometry	Not available	Map-6-22.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-22.raw
Sample 82	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 82	Proteomic profiling by mass spectrometry	Not available	Map-6-23.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-23.raw
Sample 83	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 83	Proteomic profiling by mass spectrometry	Not available	Map-6-24.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-24.raw
Sample 84	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 84	Proteomic profiling by mass spectrometry	Not available	Map-6-25.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-25.raw
