source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label]	comment[file uri]
Run5_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	40	Proteomic profiling by mass spectrometry	run 5	1	20221220_Ec_01_RZ_SBP_Exp5.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp5.raw
Run5_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	41	Proteomic profiling by mass spectrometry	run 5	1	20221220_Ec_01_RZ_SBP_Exp5.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp5.raw
Run6_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	42	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	43	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	44	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	45	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	46	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	47	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	48	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run6_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	49	Proteomic profiling by mass spectrometry	run 6	1	20221220_Ec_01_RZ_SBP_Exp6.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp6.raw
Run7_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	50	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	51	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	52	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	53	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	54	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	55	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	56	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run7_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	57	Proteomic profiling by mass spectrometry	run 7	1	20221220_Ec_01_RZ_SBP_Exp7.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp7.raw
Run8_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	58	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	59	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	60	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	61	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	62	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	63	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	64	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run8_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	65	Proteomic profiling by mass spectrometry	run 8	1	20221220_Ec_01_RZ_SBP_Exp8.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp8.raw
Run9_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	66	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	67	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	68	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	69	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	70	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	71	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	72	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	73	Proteomic profiling by mass spectrometry	run 9	1	20221220_Ec_01_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run10_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	74	Proteomic profiling by mass spectrometry	run 10	1	20221220_Ec_01_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	75	Proteomic profiling by mass spectrometry	run 10	1	20221220_Ec_01_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	76	Proteomic profiling by mass spectrometry	run 10	1	20221220_Ec_01_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	77	Proteomic profiling by mass spectrometry	run 10	1	20221220_Ec_01_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	78	Proteomic profiling by mass spectrometry	run 10	1	20221220_Ec_01_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	79	Proteomic profiling by mass spectrometry	run 10	1	20221220_Ec_01_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
