,source name,characteristics[organism],characteristics[organism part],characteristics[culture type],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[modification parameters].2,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[culture type],pride_id,filename,characteristics[treatment],comment[fragment mass tolerance],comment[precursor mass tolerance],Factor value[treatment],characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].3,Factor value[growth stage],characteristics[isolate],Factor value[isolate],characteristics[plasmid],Factor value[plasmid],characteristics[growth condition],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],comment[fractionation method],Factor value[organism part],characteristics[enrichment process],Factor value[enrichment process]
49,Sample 50,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 50,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#21_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#21_BR1_FASP1.raw,,PXD016001,1DLC11517QE_antiEcoli_#21_BR1_FASP1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
50,Sample 51,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 51,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#21_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#21_BR1_FASP2.raw,,PXD016001,1DLC11517QE_antiEcoli_#21_BR1_FASP2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
51,Sample 52,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 52,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#21_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#21_BR1_FASP3.raw,,PXD016001,1DLC11517QE_antiEcoli_#21_BR1_FASP3.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
52,Sample 53,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 53,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#27_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#27_BR1_FASP1.raw,,PXD016001,1DLC11517QE_antiEcoli_#27_BR1_FASP1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
53,Sample 54,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 54,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#27_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#27_BR1_FASP2.raw,,PXD016001,1DLC11517QE_antiEcoli_#27_BR1_FASP2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
54,Sample 55,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 55,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#27_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#27_BR1_FASP3.raw,,PXD016001,1DLC11517QE_antiEcoli_#27_BR1_FASP3.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
55,Sample 56,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 56,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#29_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#29_BR1_FASP1.raw,,PXD016001,1DLC11517QE_antiEcoli_#29_BR1_FASP1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
56,Sample 57,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 57,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#29_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#29_BR1_FASP2.raw,,PXD016001,1DLC11517QE_antiEcoli_#29_BR1_FASP2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
57,Sample 58,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 58,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#29_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#29_BR1_FASP3.raw,,PXD016001,1DLC11517QE_antiEcoli_#29_BR1_FASP3.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
58,Sample 59,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 59,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#30_BR1_FASP1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#30_BR1_FASP1.raw,,PXD016001,1DLC11517QE_antiEcoli_#30_BR1_FASP1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
59,Sample 60,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 60,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#30_BR1_FASP2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#30_BR1_FASP2.raw,,PXD016001,1DLC11517QE_antiEcoli_#30_BR1_FASP2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
60,Sample 61,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 61,Proteomic profiling by mass spectrometry,1,1DLC11517QE_antiEcoli_#30_BR1_FASP3.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#30_BR1_FASP3.raw,,PXD016001,1DLC11517QE_antiEcoli_#30_BR1_FASP3.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
0,Sample 1,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,1,Run 1,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_10.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_10.raw,,PXD025088,20200203_PWS_Ec_NC101_10.raw,Control,0.02 Da,15 ppm,Control,,,,,NC101 WT,NC101 WT,,,,,,,,,,
1,Sample 2,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,1,Run 2,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_11.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_11.raw,,PXD025088,20200203_PWS_Ec_NC101_11.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-3,PmB008R-3,,,,,,,,,,
2,Sample 3,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,1,Run 3,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_12.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_12.raw,,PXD025088,20200203_PWS_Ec_NC101_12.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-2,PmB008R-2,,,,,,,,,,
3,Sample 4,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,2,Run 4,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_13.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_13.raw,,PXD025088,20200203_PWS_Ec_NC101_13.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-2,PmB008R-2,,,,,,,,,,
4,Sample 5,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,1,Run 5,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_14.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_14.raw,,PXD025088,20200203_PWS_Ec_NC101_14.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-1,PmB008R-1,,,,,,,,,,
5,Sample 6,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,2,Run 6,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_15.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_15.raw,,PXD025088,20200203_PWS_Ec_NC101_15.raw,Control,0.02 Da,15 ppm,Control,,,,,NC101 WT,NC101 WT,,,,,,,,,,
6,Sample 7,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,2,Run 7,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_16.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_16.raw,,PXD025088,20200203_PWS_Ec_NC101_16.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-3,PmB008R-3,,,,,,,,,,
7,Sample 8,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,3,Run 8,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_1_20200203183016.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_1_20200203183016.raw,,PXD025088,20200203_PWS_Ec_NC101_1_20200203183016.raw,Control,0.02 Da,15 ppm,Control,,,,,NC101 WT,NC101 WT,,,,,,,,,,
8,Sample 9,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,3,Run 9,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_2.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_2.raw,,PXD025088,20200203_PWS_Ec_NC101_2.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-2,PmB008R-2,,,,,,,,,,
9,Sample 10,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,2,Run 10,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_3.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_3.raw,,PXD025088,20200203_PWS_Ec_NC101_3.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-1,PmB008R-1,,,,,,,,,,
10,Sample 11,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,3,Run 11,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_4.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_4.raw,,PXD025088,20200203_PWS_Ec_NC101_4.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-3,PmB008R-3,,,,,,,,,,
11,Sample 12,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,4,Run 12,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_5.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_5.raw,,PXD025088,20200203_PWS_Ec_NC101_5.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-2,PmB008R-2,,,,,,,,,,
12,Sample 13,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,4,Run 13,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_6.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_6.raw,,PXD025088,20200203_PWS_Ec_NC101_6.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-3,PmB008R-3,,,,,,,,,,
13,Sample 14,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,4,Run 14,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_7.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_7.raw,,PXD025088,20200203_PWS_Ec_NC101_7.raw,Control,0.02 Da,15 ppm,Control,,,,,NC101 WT,NC101 WT,,,,,,,,,,
14,Sample 15,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,3,Run 15,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_8.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_8.raw,,PXD025088,20200203_PWS_Ec_NC101_8.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-1,PmB008R-1,,,,,,,,,,
15,Sample 16,Escherichia coli,Cell lysate,,Escherichia coli NC101,Not applicable,Prokaryotic cell,4,Run 16,Proteomic profiling by mass spectrometry,1,20200203_PWS_Ec_NC101_9.raw,1,Label free sample,NT=Q Exactive HF-X,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_9.raw,,PXD025088,20200203_PWS_Ec_NC101_9.raw,PmB,0.02 Da,15 ppm,PmB,,,,,PmB008R-1,PmB008R-1,,,,,,,,,,
0,E10_C1,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 1,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E10_C1.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E10_C1.raw,,PXD019140,Andrew_Sue_Ecoli_E10_C1.raw,,,,,,,,,,,,,,,,,,,,
1,E11_C1,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 2,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E11_C1.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E11_C1.raw,,PXD019140,Andrew_Sue_Ecoli_E11_C1.raw,,,,,,,,,,,,,,,,,,,,
2,E12_C1,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 3,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E12_C1.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E12_C1.raw,,PXD019140,Andrew_Sue_Ecoli_E12_C1.raw,,,,,,,,,,,,,,,,,,,,
3,E16_C1,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 4,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E16_C1.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E16_C1.raw,,PXD019140,Andrew_Sue_Ecoli_E16_C1.raw,,,,,,,,,,,,,,,,,,,,
4,E17_C1,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 5,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E17_C1.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E17_C1.raw,,PXD019140,Andrew_Sue_Ecoli_E17_C1.raw,,,,,,,,,,,,,,,,,,,,
5,E18_C1,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 6,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E18_C1.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E18_C1.raw,,PXD019140,Andrew_Sue_Ecoli_E18_C1.raw,,,,,,,,,,,,,,,,,,,,
6,E19_C1_repeat,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,1,Run 7,Proteomic profiling by mass spectrometry,1,Andrew_Sue_Ecoli_E19_C1_repeat.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E19_C1_repeat.raw,,PXD019140,Andrew_Sue_Ecoli_E19_C1_repeat.raw,,,,,,,,,,,,,,,,,,,,
7,E1_C1_r,Escherichia coli,Cell lysate,,Escherichia coli str. K-12,Not applicable,Prokaryotic cell,Not available,Run 8,Proteomic profiling by mass spectrometry,Not available,Andrew_Sue_Ecoli_E1_C1_r.raw,Not available,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,,,NT=HCD; AC=MS:1002481,28% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E1_C1_r.raw,,PXD019140,Andrew_Sue_Ecoli_E1_C1_r.raw,,,,,,,,,,,,,,,,,,,,
